| Vendor     | Family   | Latest Version   | Context | Input $/1M | Output $/1M | Reasoning | Vision  | Audio   | Video | Agentic  |
| ---------- | -------- | ---------------- | ------- | ---------- | ----------- | --------- | ------- | ------- | ----- | -------- |
| OpenAI     | GPT      | GPT-5.5          | 400K    | 15.00      | 30.00       | Yes       | Yes     | Yes     | Yes   | Advanced |
| OpenAI     | GPT      | GPT-5.4          | 400K    | 7.50       | 15.00       | Yes       | Yes     | Yes     | Yes   | Advanced |
| Anthropic  | Claude   | Opus 4.8         | 1M      | 15.00      | 25.00       | Yes       | Yes     | Limited | No    | Advanced |
| Anthropic  | Claude   | Sonnet 4.6       | 1M      | 3.00       | 15.00       | Yes       | Yes     | Limited | No    | Advanced |
| Google     | Gemini   | Gemini 2.5 Pro   | 1M+     | Variable   | Variable    | Yes       | Yes     | Yes     | Yes   | Advanced |
| Google     | Gemini   | Gemini 2.5 Flash | 1M      | Low Cost   | Low Cost    | Yes       | Yes     | Yes     | Yes   | Medium   |
| xAI        | Grok     | Grok 4.3         | 1M      | 1.25       | 2.50        | Yes       | Yes     | No      | No    | Advanced |
| DeepSeek   | DeepSeek | V4-Pro           | 1M      | 0.0145     | 0.83        | Yes       | Limited | No      | No    | Advanced |
| DeepSeek   | DeepSeek | V4-Flash         | 1M      | 0.0028     | 0.28        | Yes       | Limited | No      | No    | Medium   |
| Meta       | Llama    | Llama 4 Behemoth | 10M     | Self-host  | Self-host   | Yes       | Yes     | No      | No    | Medium   |
| Alibaba    | Qwen     | Qwen 3.6 Max     | 1M      | Low        | Low         | Yes       | Yes     | No      | No    | Medium   |
| Mistral AI | Mistral  | Magistral Large  | 256K    | Medium     | Medium      | Yes       | Yes     | No      | No    | Medium   |
